[23:27:17] [main/INFO]: ModLauncher running: args [--username, megalodon7612, --version, forge-47.4.0, --gameDir, C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9, --assetsDir, C:\Users\user\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 160e99c51a494be1bd270aebcbbcdc2a, --accessToken, ????????, --clientId, 2a1b18-1005359-d911ea-74f0ec-29cd15, --xuid, 2535427159644246, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[23:27:17] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Eclipse Adoptium; OS Windows 10 arch amd64 version 10.0
[23:27:17] [main/WARN]: Configuration file C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\fml.toml is not correct. Correcting
[23:27:17] [main/INFO]: Incorrect key [earlyWindowLogHelpMessage] was corrected from null to true
[23:27:17] [main/INFO]: Incorrect key [earlyWindowShowCPU] was corrected from null to false
[23:27:20] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[23:27:20] [main/INFO]: Trying GL version 4.6
[23:27:20] [main/INFO]: If this message is the only thing at the bottom of your log before a crash, you probably have a driver issue.

Possible solutions:
A) Make sure Minecraft is set to prefer high performance graphics in the OS and/or driver control panel
B) Check for driver updates on the graphics brand's website
C) Try reinstalling your graphics drivers
D) If still not working after trying all of the above, ask for further help on the Forge forums or Discord

You can safely ignore this message if the game starts up successfully.
[23:27:20] [main/INFO]: Requested GL version 4.6 got version 4.6
[23:27:20] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 3050/PCIe/SSE2 GL version 4.6.0 NVIDIA 576.40, NVIDIA Corporation
[23:27:20] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/user/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[23:27:20] [main/INFO]: Launching CrashAssistantApp (crash_assistant-forge-1.19.2-1.20.1-1.7.9.jar)
[23:27:21] [main/INFO]: Found mod file [1.20.1] SecurityCraft v1.9.12.jar of type MOD with provider {mods folder locator at C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[23:27:21] [main/INFO]: Found mod file [forge]ctov-3.4.13.jar of type MOD with provider {mods folder locator at C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[23:27:21] [main/INFO]: Found mod file absentbydesign-1.20.1-1.9.0.jar of type MOD with provider {mods folder locator at C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[23:27:21] [main/INFO]: Found mod file Ad-Astra-Giselle-Addon-forge-1.20.1-6.18.jar of type MOD with provider {mods folder locator at C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[23:27:21] [main/INFO]: Found mod file ad_astra-forge-1.20.1-1.15.19.jar of type MOD with provider {mods folder locator at C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[23:27:21] [main/INFO]: Found mod file additional_lights-1.20.1-2.1.7.jar of type MOD with provider {mods folder locator at C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[23:27:21] [main/INFO]: Found mod file AdditionalEnchantedMiner-1.20.1-1201.1.121.jar of type MOD with provider {mods folder locator at C:\Users\user\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
